.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160521_20170324_01_T1.jpg,7666891
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160606_20180130_01_T1.jpg,8557140
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160622_20170323_01_T1.jpg,6858217
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160708_20170323_01_T1.jpg,8055686
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160809_20170322_01_T1.jpg,8619671
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20160926_20180130_01_T1.jpg,8863559
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20161231_20170314_01_T1.jpg,5515111
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170116_20170311_01_T1.jpg,6798058
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170201_20170215_01_T1.jpg,6309887
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170217_20170228_01_T1.jpg,6735288
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170305_20170316_01_T1.jpg,5496835
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170321_20170329_01_T1.jpg,6197099
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170406_20170414_01_T1.jpg,7512788
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170422_20170501_01_T1.jpg,6277356
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170524_20170614_01_T1.jpg,5301527
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170727_20170810_01_T1.jpg,6903172
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20170929_20171013_01_T1.jpg,7778137
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20171031_20171109_01_T1.jpg,6301159
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20171116_20171122_01_T1.jpg,7175263
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20171218_20171224_01_T1.jpg,7318412
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180103_20180118_01_T1.jpg,6970812
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180204_20180220_01_T1.jpg,6397366
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180220_20180308_01_T1.jpg,6694301
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180409_20180417_01_T1.jpg,5284308
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180527_20180605_01_T1.jpg,7306991
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180612_20180615_01_T1.jpg,7537351
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180714_20180730_01_T1.jpg,8522149
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180831_20180912_01_T1.jpg,6363436
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20180916_20180928_01_T1.jpg,8113126
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20181205_20181211_01_T1.jpg,5774693
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20190207_20190221_01_T1.jpg,4576118
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20190311_20190325_01_T1.jpg,4926368
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20190717_20190731_01_T1.jpg,7800196
.\Data\SATELLITE_1\landsat\LC08_L1TP_009054_20190903_20190917_01_T1.jpg,6536436
.\Data\SATELLITE_1\landsat\LT04_L1GS_009054_19890604_20170203_01_T2.tif,6726954
.\Data\SATELLITE_1\landsat\LT04_L1GS_009054_19890807_20170202_01_T2.tif,5944434
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19880601_20170208_01_T1.tif,8473174
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19881023_20170205_01_T1.tif,5678024
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19881124_20170205_01_T1.tif,6666575
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19881210_20170205_01_T1.tif,4664303
.\Data\SATELLITE_1\landsat\LT04_L1TP_009054_19881226_20170205_01_T1.tif,5114702
